DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,5,3970.0,1.0,3610.0,0.0,0.0,1146.0,106.0,164.0,360.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,6,3830.0,1.0,3660.0,0.0,0.0,1412.0,167.0,106.0,170.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,7,3897.0,0.0,3441.0,0.0,0.0,1673.0,209.0,159.0,456.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,8,3718.0,1.0,3367.0,0.0,0.0,1951.0,186.0,164.0,351.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,9,3741.0,0.0,3251.0,0.0,0.0,2380.0,231.0,164.0,490.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,10,3773.0,0.0,3313.5,0.0,0.0,2497.0,183.0,114.0,459.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,11,3661.0,1.0,3445.0,0.0,0.0,2782.0,154.0,183.0,216.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,12,3632.0,1.0,3266.5,0.0,0.0,3066.0,185.0,154.0,365.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,13,3223.0,1.0,3259.0,0.0,0.0,3743.0,139.0,139.0,36.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,14,3223.0,1.0,3259.0,0.0,0.0,3648.0,139.0,139.0,36.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,15,3093.0,1.0,3158.0,0.0,0.0,3799.0,168.0,139.0,65.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,16,3164.0,0.0,3067.0,0.0,0.0,4156.0,168.0,168.0,97.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,17,3089.0,1.0,3049.0,0.0,0.0,4538.0,168.0,168.0,40.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,18,3050.0,1.0,3069.5,0.0,0.0,4725.0,168.0,168.0,19.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,19,3048.0,1.0,3049.0,0.0,0.0,5030.0,127.0,168.0,1.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,20,3039.0,1.0,3043.5,0.0,0.0,5320.0,127.0,127.0,4.5
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,21,3039.0,1.0,3039.0,0.0,0.0,5868.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,22,3039.0,1.0,3039.0,0.0,0.0,5747.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,23,3039.0,1.0,3039.0,0.0,0.0,5997.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,24,3039.0,1.0,3039.0,0.0,0.0,6290.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,25,3039.0,1.0,3039.0,0.0,0.0,6666.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,26,3039.0,1.0,3039.0,0.0,0.0,6890.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,27,3039.0,1.0,3039.0,0.0,0.0,7222.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,28,3039.0,1.0,3039.0,0.0,0.0,7504.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,29,3039.0,1.0,3039.0,0.0,0.0,7615.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,30,3039.0,1.0,3039.0,0.0,0.0,7981.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,31,3039.0,1.0,3039.0,0.0,0.0,8215.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,32,3039.0,1.0,3039.0,0.0,0.0,8466.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,33,3039.0,1.0,3039.0,0.0,0.0,8646.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,34,3039.0,1.0,3039.0,0.0,0.0,8993.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,35,3039.0,1.0,3039.0,0.0,0.0,9287.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,36,3039.0,1.0,3039.0,0.0,0.0,9477.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,37,3039.0,1.0,3039.0,0.0,0.0,9777.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,38,3039.0,1.0,3039.0,0.0,0.0,10080.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,39,3039.0,1.0,3039.0,0.0,0.0,10703.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,40,3039.0,1.0,3039.0,0.0,0.0,10542.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,41,3039.0,1.0,3039.0,0.0,0.0,10794.0,127.0,127.0,0.0
Sparse Random Uniform,Imperfect Communication,w Timestamp,0.0,25.0,DSA_SY,0.7,42,3039.0,1.0,3039.0,0.0,0.0,11080.0,127.0,127.0,0.0
